violation,item,country,shipper,station,importers,cause,cargo,remarks,article,manufacturers,year,month,day
5,15,142.0,0.0,29.0,0.0,0.0,8.0,8.0,9.0,289.0,3,08,01
3,11,132.0,0.0,37.0,0.0,0.0,8.0,8.0,27.0,1762.0,3,08,01
3,11,132.0,0.0,37.0,0.0,0.0,8.0,8.0,27.0,1762.0,3,08,01
5,19,21.0,0.0,19.0,0.0,0.0,11.0,11.0,9.0,775.0,3,08,01
0,19,123.0,0.0,27.0,0.0,0.0,8.0,8.0,5.0,917.0,3,08,01
1,10,142.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,1405.0,3,08,01
6,7,126.0,383.0,10.0,0.0,0.0,8.0,8.0,25.0,11.0,3,08,01
1,18,101.0,0.0,23.0,0.0,0.0,8.0,8.0,5.0,1677.0,3,08,01
1,19,101.0,0.0,23.0,0.0,0.0,8.0,8.0,5.0,1677.0,3,08,01
5,19,126.0,417.0,27.0,0.0,0.0,3.0,3.0,9.0,11.0,3,08,01
1,8,142.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,185.0,3,08,01
6,7,21.0,125.0,10.0,0.0,0.0,8.0,8.0,25.0,11.0,3,08,01
0,19,3.0,0.0,37.0,0.0,0.0,8.0,8.0,27.0,468.0,3,08,01
1,3,21.0,0.0,31.0,0.0,0.0,8.0,8.0,5.0,383.0,3,08,01
1,3,21.0,0.0,31.0,0.0,0.0,8.0,8.0,5.0,383.0,3,08,01
1,17,21.0,0.0,31.0,0.0,0.0,8.0,8.0,5.0,899.0,3,08,01
5,9,51.0,120.0,42.0,243.0,0.0,8.0,8.0,15.0,11.0,4,07,03
1,10,142.0,0.0,37.0,567.0,0.0,8.0,8.0,13.0,1405.0,4,07,03
1,19,36.0,0.0,37.0,76.0,0.0,8.0,8.0,13.0,665.0,4,07,03
1,15,21.0,0.0,42.0,634.0,0.0,8.0,8.0,13.0,419.0,4,07,03
5,19,101.0,239.0,27.0,606.0,0.0,3.0,3.0,15.0,11.0,4,07,03
0,19,81.0,0.0,42.0,401.0,0.0,8.0,8.0,13.0,1568.0,4,07,03
9,2,117.0,0.0,42.0,331.0,0.0,8.0,8.0,11.0,227.0,4,07,03
9,19,117.0,0.0,42.0,331.0,0.0,8.0,8.0,11.0,227.0,4,07,03
1,19,58.0,0.0,37.0,422.0,0.0,8.0,8.0,13.0,1220.0,4,07,03
0,19,21.0,0.0,37.0,339.0,0.0,8.0,8.0,16.0,1917.0,4,07,09
0,19,21.0,0.0,37.0,339.0,0.0,8.0,8.0,16.0,1917.0,4,07,09
5,19,70.0,167.0,35.0,105.0,0.0,3.0,3.0,15.0,11.0,4,07,09
1,19,75.0,565.0,37.0,506.0,0.0,8.0,8.0,13.0,11.0,4,07,09
1,18,36.0,74.0,17.0,146.0,0.0,8.0,8.0,13.0,11.0,4,07,09
1,19,142.0,164.0,9.0,286.0,0.0,8.0,8.0,6.0,11.0,4,07,09
5,9,141.0,82.0,42.0,243.0,0.0,8.0,8.0,15.0,11.0,4,07,09
3,19,57.0,0.0,42.0,36.0,0.0,8.0,8.0,27.0,1534.0,4,07,22
1,5,58.0,0.0,42.0,466.0,0.0,8.0,8.0,13.0,1226.0,4,07,22
1,15,142.0,0.0,29.0,616.0,0.0,8.0,8.0,13.0,204.0,4,07,22
5,15,21.0,0.0,29.0,72.0,0.0,8.0,8.0,15.0,1525.0,4,07,22
1,18,57.0,280.0,23.0,290.0,0.0,8.0,8.0,13.0,11.0,4,07,22
5,9,141.0,271.0,19.0,72.0,0.0,8.0,8.0,15.0,11.0,4,07,22
1,15,21.0,0.0,10.0,274.0,0.0,8.0,8.0,13.0,1358.0,4,07,22
1,15,21.0,0.0,10.0,274.0,0.0,8.0,8.0,13.0,1358.0,4,07,22
3,19,36.0,0.0,37.0,530.0,0.0,8.0,8.0,27.0,980.0,4,07,22
3,19,95.0,0.0,37.0,605.0,0.0,8.0,8.0,27.0,1399.0,4,07,22
3,19,95.0,0.0,37.0,605.0,0.0,8.0,8.0,27.0,1399.0,4,07,22
1,8,126.0,0.0,17.0,583.0,0.0,8.0,8.0,13.0,1668.0,4,07,22
5,13,21.0,498.0,29.0,277.0,0.0,8.0,8.0,15.0,11.0,4,07,22
5,13,21.0,498.0,29.0,182.0,0.0,8.0,8.0,15.0,11.0,4,07,22
1,19,21.0,0.0,37.0,56.0,0.0,8.0,8.0,13.0,1281.0,4,07,22
5,15,21.0,0.0,17.0,544.0,0.0,8.0,8.0,15.0,900.0,4,07,22
3,12,21.0,0.0,29.0,437.0,0.0,8.0,8.0,27.0,1384.0,4,07,22
1,8,126.0,0.0,37.0,412.0,0.0,8.0,8.0,13.0,238.0,4,07,22
1,10,20.0,0.0,17.0,16.0,0.0,8.0,8.0,13.0,1565.0,4,07,22
